clusters,baseline_props,mean_props_Y,mean_props_N,prop_ratio,t_statistics,p_values,adjusted_p_values
Adipocyte,0.005411001053135815,0.004297266331969446,0.006796089234464773,0.6323145832425018,0.029596527084756404,0.9764110456061361,0.9764110456061361
Cardiomyocyte,0.2922119978542582,0.2495615350637769,0.300340630569119,0.8309283182594369,-5.310455799821643,2.3119434068854963e-07,1.5027632144755726e-06
Endocardial,0.015946395925243505,0.013398538137824378,0.022729527010644908,0.5894772087227969,-1.6024555673627352,0.11024260680900558,0.1577002012364327
Endothelial,0.13988092568305815,0.18105020911693642,0.10272137634244341,1.7625368308283498,3.9598849569406105,9.634198911630528e-05,0.0002504891717023937
Epicardial,0.00391203176271971,0.007220625051888828,0.003331021198042383,2.167691114104088,3.010550094281963,0.002858576046709997,0.004645186075903744
Fibroblast,0.23653932753600307,0.22531257817275965,0.24732551272909437,0.9109961026121621,1.5542785832233357,0.12130784710494824,0.1577002012364327
LEC,0.005776100096343089,0.008713597394144207,0.0049810642709054295,1.7493445015437028,4.877335570021123,1.8537931196392084e-06,8.033103518436569e-06
Lymphoid,0.02911463033497613,0.035355901530766405,0.02731447293518437,1.29440174865039,3.5049480340185073,0.000535804059336501,0.0011609087952290853
Mast,0.003980656030054738,0.0020814171770012907,0.005092103251969874,0.40875392230039653,-4.423857230790374,1.415396969080511e-05,4.6000401495116606e-05
Myeloid,0.10698971802153995,0.09908901052929173,0.12412958679215351,0.7982706870297529,1.2239996915120288,0.2220362042370173,0.26240642318920226
Neuronal,0.009591699065095275,0.009669852463729273,0.009676090762905414,0.999355287240581,-0.6492622971392874,0.5167294887534672,0.5597902794829228
Pericyte,0.12472752129146386,0.1314423639911932,0.12531195042661972,1.0489212205516132,-3.36828317702206,0.0008683817889792975,0.0016127090366758383
vSMC,0.02591799534610851,0.03280710503871803,0.020250574476452645,1.6200579927678649,6.237147940071741,1.7461741842843237e-09,2.2700264395696205e-08
